brand_name,generic_name
A1-Cal 500mg chewable tablets,Calcium carbonate 1.25g chewable tablets sugar free
AaCarb Carbomer 0.2% eye gel,Carbomer '980' 0.2% eye drops
AaceCa 1500mg chewable tablets,Calcium carbonate 1.5g chewable tablets sugar free
AaceCa D3 1500mg/400unit chewable tablets,colecalciferol 400unit / calcium carbonate 1.5g chewable tablets
AaceCa D3 750mg/200unit caplets,Colecalciferol 200unit / Calcium carbonate 750mg tablets
"Aactive D3 10,000unit capsules","Colecalciferol 10,000unit capsules"
AascorbDose 500mg tablets,Ascorbic acid 500mg tablets
Accrete D3 One a Day 1000mg/880unit chewable tablets,Colecalciferol 880unit / Calcium carbonate 2.5g chewable tablets
Accrete D3 tablets,Colecalciferol 400unit / Calcium carbonate 1.5g tablets
Acepiro 600mg effervescent tablets,Acetylcysteine 600mg effervescent tablets sugar free
Acetyl-NAC 600mg tablets,acetylcysteine 600mg effervescent tablets sugar free
Acnecide 5% gel,Benzoyl peroxide 5% gel
Acopair 18microgram inhalation powder capsules with NeumoHaler,Tiotropium bromide 18microgram inhalation powder capsules with device
Acular 0.5% eye drops,Ketorolac 0.5% eye drops
Acyanocomin 500microgram tablets,cyanocobalamin 50microgram tablets
Adanif XL 30mg tablets,Nifedipine 30mg modified-release tablets
Adanif XL 60mg tablets,Nifedipine 60mg modified-release tablets
Adartrel 500microgram tablets,ropinirole 500microgram tablets
Adcal 1500mg chewable tablets,Calcium carbonate 1.5g chewable tablets sugar free
Adcal-D3 750mg/200unit caplets,Colecalciferol 200unit / Calcium carbonate 750mg tablets
Adcal-D3 Dissolve 1500mg/400unit effervescent tablets,Colecalciferol 400unit / Calcium carbonate 1.5g effervescent tablets
Adcal-D3 Lemon chewable tablets,Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets
Adcal-D3 chewable tablets tutti frutti,Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets
AddGluco 40% gel,Glucose 40% oral gel
Adizem-SR 120mg capsules,Diltiazem 120mg modified-release capsules
Adizem-SR 90mg capsules,Diltiazem 90mg modified-release capsules
Adizem-XL 120mg capsules,Diltiazem 120mg modified-release capsules
Adizem-XL 180mg capsules,Diltiazem 180mg modified-release capsules
Adizem-XL 200mg capsules,Diltiazem 200mg modified-release capsules
Adizem-XL 240mg capsules,Diltiazem 240mg modified-release capsules
Adizem-XL 300mg capsules,diltiazem 300mg modified-release capsules
Advagraf 5mg modified-release capsules,Tacrolimus 5mg modified-release capsules
AirFluSal Forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler,Fluticasone propionate 500micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler
Allacan 10mg tablets,Cetirizine 10mg tablets
Allercrom 2% eye drops,Sodium cromoglicate 2% eye drops
Alphagan 0.2% eye drops,Brimonidine 0.2% eye drops
Alvesco 160 inhaler,ciclesonide 160micrograms/dose inhaler cfc free
Angitil SR 120 capsules,diltiazem 120mg modified-release capsules
Angitil SR 180 capsules,Diltiazem 180mg modified-release capsules
Anoro Ellipta 55micrograms/dose / 22micrograms/dose dry powder inhaler,Umeclidinium bromide 65micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler
Aquipta 60mg tablets,Atogepant 60mg tablets
Arpoya 15mg tablets,Aripiprazole 15mg tablets
Arpoya 5mg tablets,Aripiprazole 5mg tablets
Artelac Nighttime 0.2% eye gel,Carbomer '980' 0.2% eye drops
Arthrotec 50 gastro-resistant tablets,diclofenac sodium 50mg gastro-resistant / misoprostol 200microgram tablets
Arthrotec 75 gastro-resistant tablets,diclofenac sodium 75mg gastro-resistant / misoprostol 200microgram tablets
Asacol 800mg MR gastro-resistant tablets,Mesalazine 800mg gastro-resistant tablets
Aspire Hayfever Relief 2% eye drops,Sodium cromoglicate 2% eye drops
Atrovent 20micrograms/dose inhaler,ipratropium bromide 20micrograms/dose inhaler cfc free
Atrovent 20micrograms/dose inhaler CFC free,Ipratropium bromide 20micrograms/dose inhaler CFC free
Atrovent 250micrograms/1ml nebuliser liquid UDVs,Ipratropium bromide 250micrograms/1ml nebuliser liquid unit dose vials
Audavate RD 0.025% cream,Betamethasone valerate 0.025% cream
Audmonal 60mg capsules,Alverine 60mg capsules
Augmentin 125/31 SF oral suspension,Co-amoxiclav 125mg/31mg/5ml oral suspension
Augmentin 250/62 SF oral suspension,Co-amoxiclav 250mg/62mg/5ml oral suspension
Augmentin 625mg tablets,Co-amoxiclav 500mg/125mg tablets
Avamys 27.5micrograms/dose nasal spray,Fluticasone furoate 27.5micrograms/dose nasal spray
Avenor 25micrograms/dose / 50micrograms/dose inhaler,Fluticasone 50micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free
Avomine 25mg tablets,promethazine teoclate 25mg tablets
Azathioprine 100mg tablets,azathioprine 50mg tablets
Azathioprine 75mg tablets,azathioprine 50mg tablets
Bactroban 2% cream,Mupirocin 2% cream
Bactroban 2% nasal ointment,Mupirocin 2% nasal ointment
Bactroban 2% ointment,mupirocin 2% ointment
Balneum Plus cream,Urea 5% / Lauromacrogols 3% cream
Betacap 0.1% scalp application,Betamethasone valerate 0.1% scalp application
Betmiga 25mg modified-release tablets,Mirabegron 25mg modified-release tablets
Betmiga 50mg modified-release tablets,Mirabegron 50mg modified-release tablets
Betnovate 0.1% cream,Betamethasone valerate 0.1% cream
Betnovate 0.1% lotion,Betamethasone valerate 0.1% lotion
Betnovate 0.1% ointment,Betamethasone valerate 0.1% ointment
Betnovate 0.1% scalp application,Betamethasone valerate 0.1% scalp application
Betnovate RD 0.025% cream,Betamethasone valerate 0.025% cream
Betnovate RD 0.025% ointment,Betamethasone valerate 0.025% ointment
Bettamousse 0.1% cutaneous foam,betamethasone 0.1% foam
Bevespi Aerosphere 7.2micrograms/dose / 5micrograms/dose pressurised inhaler,Glycopyrronium 7.2micrograms/dose / Formoterol 5micrograms/dose inhaler CFC free
Bimi 0.3mg/ml eye drops,Bimatoprost 300micrograms/ml eye drops preservative free
Bimiduo 0.3mg/ml / 5mg/ml eye drops preservative free,bimatoprost 300micrograms/ml / timolol 5mg/ml eye drops preservative free
Bimizza 150microgram/20microgram tablets,Ethinylestradiol 20microgram / Desogestrel 150microgram tablets
Biquelle XL 400mg tablets,Quetiapine 400mg modified-release tablets
Braltus 10microgram inhalation powder capsules with Zonda inhaler,Tiotropium bromide 10microgram inhalation powder capsules with device
Brevinor 500microgram/35microgram tablets,Ethinylestradiol 35microgram / Norethisterone 500microgram tablets
Bricanyl 500micrograms/dose Turbohaler,Terbutaline 500micrograms/dose dry powder inhaler
Brilique 60mg tablets,ticagrelor 60mg tablets
Brilique 90mg orodispersible tablets,ticagrelor 90mg orodispersible tablets sugar free
Brimonidine 2mg/ml eye drops,brimonidine 0.2% eye drops
Brintellix 10mg tablets,Vortioxetine 10mg tablets
Brintellix 20mg tablets,Vortioxetine 20mg tablets
Brintellix 5mg tablets,vortioxetine 5mg tablets
Budenofalk 3mg gastro-resistant capsules,Budesonide 3mg gastro-resistant capsules
Buscopan 10mg tablets,Hyoscine butylbromide 10mg tablets
Buscopan 20mg/1ml solution for injection ampoules,Hyoscine butylbromide 20mg/1ml solution for injection ampoules
Calceos 500mg/400unit chewable tablets,colecalciferol 400unit / calcium carbonate 1.25g chewable tablets
"Calci-D 1000mg/1,000unit chewable tablets","Colecalciferol 1,000unit / Calcium carbonate 2.5g chewable tablets"
Calcichew 500mg chewable tablets,Calcium carbonate 1.25g chewable tablets sugar free
Calcichew D3 Forte chewable tablets,Colecalciferol 400unit / Calcium carbonate 1.25g chewable tablets
Calcichew D3 chewable tablets,Colecalciferol 200unit / Calcium carbonate 1.25g chewable tablets
Calcipotriol 50micrograms/g cream,trifarotene 50micrograms/g cream
Camcolit 400 modified-release tablets,lithium carbonate 400mg modified-release tablets
Canesten 1% solution,Clotrimazole 1% solution
Canesten 100mg pessaries,Clotrimazole 100mg pessaries
Canesten 200mg pessaries,Clotrimazole 200mg pessaries
Canesten 500mg pessaries,Clotrimazole 500mg pessaries
Canesten Combi 500mg pessary and External 2% cream,Clotrimazole 500mg pessary and Clotrimazole 2% cream
Canesten HC cream,Hydrocortisone 1% / Clotrimazole 1% cream
Canesten Thrush Duo 150mg Oral capsules & External 2% cream,Fluconazole 150mg capsule and Clotrimazole 2% cream
Caramet 25mg/100mg CR tablets,Co-careldopa 25mg/100mg modified-release tablets
Carbomer 0.2% eye gel,Carbomer '980' 0.2% eye drops
Carmil 20mg tablets,Isosorbide mononitrate 20mg tablets
Carmize 0.5% eye drops,carmellose 0.5% eye drops 0.4ml unit dose preservative free
Carmize 0.5% eye drops 0.4ml unit dose preservative free,Carmellose 0.5% eye drops 0.4ml unit dose preservative free
Carmize 1% eye drops 0.4ml unit dose preservative free,Carmellose 1% eye drops 0.4ml unit dose preservative free
Catacrom 2% eye drops 0.3ml unit dose,Sodium cromoglicate 2% eye drops 0.3ml unit dose preservative free
Celebrex 200mg capsules,celecoxib 200mg capsules
CellCept 500mg tablets,Mycophenolate mofetil 500mg tablets
Cenlax 7.5mg tablets 12 Years Plus,senna 7.5mg tablets
Ceporex 500mg tablets,cefalexin 500mg tablets
Cerazette 75microgram tablets,desogestrel 75microgram tablets
Cerelle 75microgram tablets,Desogestrel 75microgram tablets
Chemydur 60XL tablets,Isosorbide mononitrate 60mg modified-release tablets
Cholurso 500mg tablets,ursodeoxycholic acid 500mg tablets
Cialis 10mg tablets,Tadalafil 10mg tablets
Cilique 250microgram/35microgram tablets,Ethinylestradiol 35microgram / Norgestimate 250microgram tablets
Cilodex ear drops,ciprofloxacin 0.3% / dexamethasone 0.1% ear drops
Ciloxan 0.3% eye drops,ciprofloxacin 0.3% eye drops
Cimizt 30microgram/150microgram tablets,Ethinylestradiol 30microgram / Desogestrel 150microgram tablets
Cipralex 10mg tablets,escitalopram 10mg tablets
Cipralex 5mg tablets,Escitalopram 5mg tablets
Ciproxin 250mg/5ml oral suspension,ciprofloxacin 250mg/5ml oral suspension
Clairette 2000/35 tablets,Co-cyprindiol 2000microgram/35microgram tablets
Clenil Modulite 100micrograms/dose inhaler,Beclometasone 100micrograms/dose inhaler CFC free
Clenil Modulite 200micrograms/dose inhaler,Beclometasone 200micrograms/dose inhaler CFC free
Clenil Modulite 50micrograms/dose inhaler,Beclometasone 50micrograms/dose inhaler CFC free
Clexane 80mg/0.8ml solution for injection pre-filled syringes,enoxaparin sodium 80mg/0.8ml solution for injection pre-filled syringes
